Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Won 2 Oscars. Another 24 wins & 49 nominations.,N/A,USA,Ron Howard,"Adventure, Drama, History",PG,Apollo 13,"Jim Lovell (book), Jeffrey Kluger (book), William Broyles Jr. (screenplay), Al Reinert (screenplay)",1995,7.6
"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Won 1 Oscar. Another 18 wins & 23 nominations.,N/A,"Australia, USA",Chris Noonan,"Comedy, Drama, Family",G,Babe,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)",1995,6.8
"James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Won 1 Oscar. Another 31 wins & 44 nominations.,N/A,"USA, UK",Ang Lee,"Drama, Romance",PG,Sense and Sensibility,"Jane Austen (novel), Emma Thompson (screenplay)",1995,7.7
"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",Won 2 Oscars. Another 79 wins & 59 nominations.,N/A,"USA, UK","Joel Coen, Ethan Coen","Crime, Drama, Thriller",R,Fargo,"Ethan Coen, Joel Coen",1996,8.1
"Tom Cruise, Cuba Gooding Jr., Renée Zellweger, Kelly Preston",Won 1 Oscar. Another 25 wins & 41 nominations.,N/A,USA,Cameron Crowe,"Comedy, Drama, Romance, Sport",R,Jerry Maguire,Cameron Crowe,1996,7.3
"Bryan Fox, Lindsay Gareth, Casey Graf, Najarra Townsend",1 win.,N/A,USA,Jeff Warden,"Short, Drama, Romance",N/A,Secrets,Jeff Warden,2007,5.2
"Geoffrey Rush, Justin Braine, Sonia Todd, Chris Haywood",Won 1 Oscar. Another 45 wins & 51 nominations.,N/A,Australia,Scott Hicks,"Biography, Drama, Music",PG-13,Shine,"Jan Sardi (screenplay), Scott Hicks (story)",1996,7.7
"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",Won 2 Oscars. Another 35 wins & 49 nominations.,N/A,USA,James L. Brooks,"Comedy, Drama, Romance",PG-13,As Good as It Gets,"Mark Andrus (story), Mark Andrus (screenplay), James L. Brooks (screenplay)",1997,7.7
"Robert Carlyle, Mark Addy, Wim Snape, Steve Huison",Won 1 Oscar. Another 35 wins & 31 nominations.,N/A,"UK, USA",Peter Cattaneo,"Comedy, Drama",R,The Full Monty,Simon Beaufoy,1997,7.2
"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",Won 2 Oscars. Another 22 wins & 57 nominations.,N/A,USA,Gus Van Sant,"Drama, Romance",R,Good Will Hunting,"Matt Damon, Ben Affleck",1997,8.3
"Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",Won 2 Oscars. Another 85 wins & 82 nominations.,N/A,USA,Curtis Hanson,"Crime, Drama, Mystery, Thriller",R,L.A. Confidential,"James Ellroy (novel), Brian Helgeland (screenplay), Curtis Hanson (screenplay)",1997,8.3
"Cate Blanchett, Geoffrey Rush, Christopher Eccleston, Joseph Fiennes",Won 1 Oscar. Another 34 wins & 54 nominations.,N/A,UK,Shekhar Kapur,"Biography, Drama, History",R,Elizabeth,Michael Hirst,1998,7.5
"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",Won 3 Oscars. Another 66 wins & 51 nominations.,N/A,Italy,Roberto Benigni,"Comedy, Drama, Romance, War",PG-13,Life Is Beautiful,"Vincenzo Cerami (story and screenplay by), Roberto Benigni (story and screenplay by)",1997,8.6
"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper",Won 5 Oscars. Another 74 wins & 74 nominations.,N/A,USA,Steven Spielberg,"Drama, War",R,Saving Private Ryan,Robert Rodat,1998,8.6
"Kirk Acevedo, Penelope Allen, Benjamin Green, Simon Billig",Nominated for 7 Oscars. Another 20 wins & 40 nominations.,N/A,USA,Terrence Malick,"Drama, War",R,The Thin Red Line,"James Jones (novel), Terrence Malick (screenplay)",1998,7.6
"Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",Won 2 Oscars. Another 6 wins & 29 nominations.,N/A,USA,Lasse Hallström,"Drama, Romance",PG-13,The Cider House Rules,"John Irving (novel), John Irving (screenplay)",1999,7.4
"Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan",Nominated for 4 Oscars. Another 15 wins & 32 nominations.,N/A,USA,Frank Darabont,"Crime, Drama, Fantasy, Mystery",R,The Green Mile,"Stephen King (novel), Frank Darabont (screenplay)",1999,8.5
"Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora",Nominated for 7 Oscars. Another 23 wins & 50 nominations.,N/A,USA,Michael Mann,"Biography, Drama, Thriller",R,The Insider,"Marie Brenner (article), Eric Roth, Michael Mann",1999,7.9
"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",Nominated for 6 Oscars. Another 32 wins & 48 nominations.,N/A,USA,M. Night Shyamalan,"Drama, Mystery, Thriller",PG-13,The Sixth Sense,M. Night Shyamalan,1999,8.1
"Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil",Nominated for 5 Oscars. Another 7 wins & 30 nominations.,N/A,"UK, USA",Lasse Hallström,"Drama, Romance",PG-13,Chocolat,"Joanne Harris (novel), Robert Nelson Jacobs (screenplay)",2000,7.3
"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",Won 4 Oscars. Another 96 wins & 130 nominations.,N/A,"Taiwan, Hong Kong, USA, China",Ang Lee,"Action, Adventure, Fantasy, Romance",PG-13,"Crouching Tiger, Hidden Dragon","Du Lu Wang (book), Hui-Ling Wang (screenplay), James Schamus (screenplay), Kuo Jung Tsai (screenplay)",2000,7.9
"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney",Won 1 Oscar. Another 31 wins & 58 nominations.,N/A,USA,Steven Soderbergh,"Biography, Drama",R,Erin Brockovich,Susannah Grant,2000,7.3
"Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo",Won 4 Oscars. Another 69 wins & 83 nominations.,"$123,836,420","USA, Germany",Steven Soderbergh,"Crime, Drama, Thriller",R,Traffic,"Simon Moore (miniseries Traffik), Stephen Gaghan (screenplay)",2000,7.6
"Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford",Won 1 Oscar. Another 31 wins & 73 nominations.,"$41,274,328","UK, USA, Italy",Robert Altman,"Comedy, Drama, Mystery",R,Gosford Park,"Julian Fellowes, Robert Altman (based upon an idea by), Bob Balaban (based upon an idea by)",2001,7.3
"Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei",Nominated for 5 Oscars. Another 38 wins & 69 nominations.,"$35,733,119",USA,Todd Field,"Crime, Drama",R,In the Bedroom,"Andre Dubus (story ""Killings""), Robert Festinger (screenplay), Todd Field (screenplay)",2001,7.4
"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",Won 4 Oscars. Another 113 wins & 123 nominations.,"$314,000,000","New Zealand, USA",Peter Jackson,"Adventure, Drama, Fantasy",PG-13,The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)",2001,8.8
"Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent",Won 2 Oscars. Another 84 wins & 129 nominations.,"$55,093,223","Australia, USA",Baz Luhrmann,"Drama, Musical, Romance",PG-13,Moulin Rouge!,"Baz Luhrmann, Craig Pearce",2001,7.6
"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent",Nominated for 10 Oscars. Another 50 wins & 124 nominations.,"$77,605,296","USA, Italy",Martin Scorsese,"Crime, Drama",R,Gangs of New York,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)",2002,7.5
"Nicole Kidman, Julianne Moore, Meryl Streep, Stephen Dillane",Won 1 Oscar. Another 41 wins & 125 nominations.,"$41,465,765","USA, UK",Stephen Daldry,"Drama, Romance",PG-13,The Hours,"Michael Cunningham (novel), David Hare (screenplay)",2002,7.6
"Bruce Allpress, Sean Astin, John Bach, Sala Baker",Won 2 Oscars. Another 118 wins & 137 nominations.,"$339,700,000","New Zealand, USA",Peter Jackson,"Adventure, Drama, Fantasy",PG-13,The Lord of the Rings: The Two Towers,"J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Stephen Sinclair (screenplay), Peter Jackson (screenplay)",2002,8.7
"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard",Won 3 Oscars. Another 52 wins & 73 nominations.,"$32,519,322","France, Poland, Germany, UK, USA",Roman Polanski,"Biography, Drama, Music, War",R,The Pianist,"Ronald Harwood (screenplay), Wladyslaw Szpilman (book)",2002,8.5
"Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe",Won 1 Oscar. Another 97 wins & 126 nominations.,"$44,566,004","USA, Japan",Sofia Coppola,Drama,R,Lost in Translation,Sofia Coppola,2003,7.8
"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall",Won 2 Oscars. Another 21 wins & 90 nominations.,"$92,100,000",USA,Peter Weir,"Action, Adventure, Drama, History, War",PG-13,Master and Commander: The Far Side of the World,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)",2003,7.4
"Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne",Won 2 Oscars. Another 53 wins & 142 nominations.,"$88,800,000","USA, Australia",Clint Eastwood,"Crime, Drama, Mystery, Thriller",R,Mystic River,"Brian Helgeland (screenplay), Dennis Lehane (novel)",2003,8.0
"David McCullough, Jeff Bridges, Paul Vincent O'Connor, Chris Cooper",Nominated for 7 Oscars. Another 6 wins & 37 nominations.,"$120,147,445",USA,Gary Ross,"Drama, History, Sport",PG-13,Seabiscuit,"Laura Hillenbrand (book), Gary Ross (screenplay)",2003,7.3
"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",Won 5 Oscars. Another 81 wins & 130 nominations.,"$102,563,679","Germany, USA",Martin Scorsese,"Biography, Drama, History",PG-13,The Aviator,John Logan,2004,7.5
