Actors,Awards,Box Office,Country,Director,Genre,Rated,Title,Writer(s),Year,imdbRating
"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman",Won 2 Oscars. Another 20 wins & 27 nominations.,N/A,USA,Arthur Penn,"Action, Biography, Crime, Drama",R,Bonnie and Clyde,"David Newman, Robert Benton",1967,7.9
"Eddie Murphy, Ossie Davis, Oliver Platt, Peter Boyle",4 wins & 9 nominations.,N/A,USA,Betty Thomas,"Comedy, Family, Fantasy",PG-13,Doctor Dolittle,"Hugh Lofting (stories), Nat Mauldin (screenplay), Larry Levin (screenplay)",1998,5.4
"Anne Bancroft, Dustin Hoffman, Katharine Ross, William Daniels",Won 1 Oscar. Another 20 wins & 16 nominations.,N/A,USA,Mike Nichols,"Comedy, Drama, Romance",PG,The Graduate,"Calder Willingham (screenplay), Buck Henry (screenplay), Charles Webb (based on the novel by)",1967,8.0
"Spencer Tracy, Sidney Poitier, Katharine Hepburn, Katharine Houghton",Won 2 Oscars. Another 9 wins & 22 nominations.,N/A,USA,Stanley Kramer,"Comedy, Drama",NOT RATED,Guess Who's Coming to Dinner,William Rose,1967,7.8
"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis",Won 1 Oscar. Another 7 wins & 16 nominations.,N/A,USA,William Wyler,"Biography, Comedy, Drama, Musical, Romance",G,Funny Girl,"Isobel Lennart (based on the musical play by), Isobel Lennart (screenplay by)",1968,7.6
"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle",Won 3 Oscars. Another 12 wins & 18 nominations.,"$18,177","UK, USA",Anthony Harvey,"Biography, Drama, History",PG,The Lion in Winter,"James Goldman (screenplay), James Goldman (play)",1968,8.1
"Joanne Woodward, James Olson, Kate Harrington, Estelle Parsons",Nominated for 4 Oscars. Another 7 wins & 5 nominations.,N/A,USA,Paul Newman,"Drama, Romance",APPROVED,"Rachel, Rachel","Stewart Stern (screenplay), Margaret Laurence (novel)",1968,7.5
"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea",Won 2 Oscars. Another 14 wins & 15 nominations.,N/A,"UK, Italy",Franco Zeffirelli,"Drama, Romance",PG,Romeo and Juliet,"William Shakespeare (play), Franco Brusati (screenplay), Masolino D'Amico (screenplay), Franco Zeffirelli (screenplay)",1968,7.6
"Richard Burton, Geneviève Bujold, Irene Papas, Anthony Quayle",Won 1 Oscar. Another 5 wins & 16 nominations.,N/A,UK,Charles Jarrott,"Biography, Drama, History",PG,Anne of the Thousand Days,"Bridget Boland (screenplay), John Hale (screenplay), Richard Sokolove (adaptation), Maxwell Anderson (play)",1969,7.5
"Paul Newman, Robert Redford, Katharine Ross, Strother Martin",Won 4 Oscars. Another 16 wins & 14 nominations.,N/A,USA,George Roy Hill,"Biography, Crime, Drama, Western",PG,Butch Cassidy and the Sundance Kid,William Goldman,1969,8.1
"Barbra Streisand, Walter Matthau, Michael Crawford, Marianne McAndrew",Won 3 Oscars. Another 1 win & 13 nominations.,N/A,USA,Gene Kelly,"Adventure, Comedy, Musical, Romance",G,"Hello, Dolly!","Michael Stewart (book), Thornton Wilder (based on ""The Matchmaker"" by), Ernest Lehman (written for the screen by)",1969,7.2
"Yves Montand, Irene Papas, Jean-Louis Trintignant, François Périer",Won 2 Oscars. Another 9 wins & 12 nominations.,N/A,"France, Algeria",Costa-Gavras,"Crime, Drama, History, Thriller",M/PG,Z,"Vasilis Vasilikos (novel), Jorge Semprún (dialogue)",1969,8.2
"Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset",Won 1 Oscar. Another 3 wins & 19 nominations.,N/A,USA,"George Seaton, Henry Hathaway","Action, Drama, Thriller",G,Airport,"Arthur Hailey (from the novel by), George Seaton (written for the screen by)",1970,6.6
"Jack Nicholson, Karen Black, Billy Green Bush, Fannie Flagg",Nominated for 4 Oscars. Another 10 wins & 18 nominations.,N/A,USA,Bob Rafelson,Drama,R,Five Easy Pieces,"Carole Eastman (screenplay), Bob Rafelson (story), Carole Eastman (story)",1970,7.5
"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland",Won 1 Oscar. Another 9 wins & 16 nominations.,N/A,USA,Arthur Hiller,"Drama, Romance",PG,Love Story,Erich Segal,1970,6.9
"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",Nominated for 4 Oscars. Another 9 wins & 19 nominations.,N/A,"UK, USA",Stanley Kubrick,"Crime, Drama, Sci-Fi",R,A Clockwork Orange,"Stanley Kubrick (screenplay), Anthony Burgess (novel)",1971,8.3
"Topol, Norma Crane, Leonard Frey, Molly Picon",Won 3 Oscars. Another 6 wins & 13 nominations.,N/A,USA,Norman Jewison,"Drama, Family, Musical, Romance",G,Fiddler on the Roof,"Sholom Aleichem (adapted from stories), Arnold Perl (adapted from Sholem Aleichem stories by special arrangement with), Joseph Stein (stageplay), Joseph Stein (screenplay)",1971,8.0
"Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson",Won 2 Oscars. Another 16 wins & 22 nominations.,N/A,USA,Peter Bogdanovich,Drama,R,The Last Picture Show,"Larry McMurtry (screenplay), Peter Bogdanovich (screenplay), Larry McMurtry (novel)",1971,8.1
"Michael Jayston, Janet Suzman, Roderic Noble, Ania Marson",Won 2 Oscars. Another 1 win & 11 nominations.,N/A,"UK, USA",Franklin J. Schaffner,"Biography, Drama, History, War",GP,Nicholas and Alexandra,"Robert K. Massie (book), Edward Bond (additional dialogue), James Goldman (screenplay)",1971,7.3
"Liza Minnelli, Michael York, Helmut Griem, Joel Grey",Won 8 Oscars. Another 27 wins & 15 nominations.,N/A,USA,Bob Fosse,"Drama, Musical",PG,Cabaret,"Joe Masteroff (based on the musical play ""Cabaret"" book by), John Van Druten (based on the play by), Christopher Isherwood (stories), Jay Presson Allen (screenplay)",1972,7.8
"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox",Nominated for 3 Oscars. Another 3 wins & 10 nominations.,N/A,USA,John Boorman,"Adventure, Drama, Thriller",R,Deliverance,"James Dickey (screenplay), James Dickey (novel)",1972,7.7
"Max von Sydow, Liv Ullmann, Eddie Axberg, Sven-Olof Bern",Nominated for 5 Oscars. Another 7 wins & 5 nominations.,N/A,Sweden,Jan Troell,"Drama, History",PG,The Emigrants,"Bengt Forslund (screenplay), Jan Troell (screenplay), Vilhelm Moberg (novels)",1971,8.0
"Cicely Tyson, Paul Winfield, Kevin Hooks, Carmen Mathews",Nominated for 4 Oscars. Another 4 wins & 8 nominations.,N/A,USA,Martin Ritt,"Drama, Family",G,Sounder,"Lonne Elder III (screenplay), William H. Armstrong (novel)",1972,7.6
"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith",Nominated for 5 Oscars. Another 9 wins & 8 nominations.,N/A,USA,George Lucas,"Comedy, Drama",PG,American Graffiti,"George Lucas, Gloria Katz, Willard Huyck",1973,7.5
"Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn",Won 2 Oscars. Another 14 wins & 17 nominations.,N/A,USA,William Friedkin,Horror,R,The Exorcist,"William Peter Blatty (written for the screen by), William Peter Blatty (novel)",1973,8.0
"George Segal, Glenda Jackson, Paul Sorvino, K Callan",Won 1 Oscar. Another 10 wins & 10 nominations.,N/A,UK,Melvin Frank,"Comedy, Romance",PG,A Touch of Class,"Melvin Frank, Jack Rose, Marvin Frank (story ""She Loves Me,  She Told Me So Last Night"")",1973,6.5
"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",Won 1 Oscar. Another 20 wins & 24 nominations.,N/A,USA,Roman Polanski,"Drama, Mystery, Thriller",R,Chinatown,Robert Towne,1974,8.2
"Gene Hackman, John Cazale, Allen Garfield, Frederic Forrest",Nominated for 3 Oscars. Another 14 wins & 13 nominations.,N/A,USA,Francis Ford Coppola,"Drama, Mystery, Thriller",PG,The Conversation,Francis Ford Coppola,1974,7.9
"Dustin Hoffman, Valerie Perrine, Jan Miner, Stanley Beck",Nominated for 6 Oscars. Another 7 wins & 10 nominations.,N/A,USA,Bob Fosse,"Biography, Drama",R,Lenny,"Julian Barry (play), Julian Barry (screenplay)",1974,7.6
"Steve McQueen, Paul Newman, William Holden, Faye Dunaway",Won 3 Oscars. Another 9 wins & 13 nominations.,N/A,USA,John Guillermin,"Action, Drama, Thriller",PG,The Towering Inferno,"Richard Martin Stern (novel), Thomas N. Scortia (novel), Frank M. Robinson (novel), Stirling Silliphant (screenplay)",1974,6.9
"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger",Won 4 Oscars. Another 13 wins & 14 nominations.,N/A,"UK, USA",Stanley Kubrick,"Adventure, Drama, History, War",PG,Barry Lyndon,"Stanley Kubrick (written for the screen by), William Makepeace Thackeray (novel)",1975,8.1
"Penelope Allen, Sully Boyar, John Cazale, Beulah Garrick",Won 1 Oscar. Another 13 wins & 19 nominations.,N/A,USA,Sidney Lumet,"Biography, Crime, Drama, Thriller",R,Dog Day Afternoon,"Frank Pierson (screenplay), P.F. Kluge (based upon a magazine article by), Thomas Moore (based upon a magazine article by)",1975,8.0
"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Won 3 Oscars. Another 11 wins & 18 nominations.,N/A,USA,Steven Spielberg,"Adventure, Drama, Thriller",PG,Jaws,"Peter Benchley (screenplay), Carl Gottlieb (screenplay), Peter Benchley (based on the novel by)",1975,8.0
"Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam",Won 4 Oscars. Another 13 wins & 21 nominations.,N/A,USA,Alan J. Pakula,"Biography, Drama, History, Thriller",PG,All the President's Men,"Carl Bernstein (book), Bob Woodward (book), William Goldman (screenplay)",1976,8.0
"David Carradine, Ronny Cox, Melinda Dillon, Gail Strickland",Won 2 Oscars. Another 4 wins & 11 nominations.,N/A,USA,Hal Ashby,"Biography, Drama, Music",PG,Bound for Glory,"Robert Getchell (screenplay), Woody Guthrie (autobiography)",1976,7.3
"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",Won 4 Oscars. Another 16 wins & 25 nominations.,N/A,USA,Sidney Lumet,Drama,R,Network,Paddy Chayefsky,1976,8.1
"Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",Nominated for 4 Oscars. Another 21 wins & 15 nominations.,N/A,USA,Martin Scorsese,"Crime, Drama",R,Taxi Driver,Paul Schrader,1976,8.3
"Richard Dreyfuss, Marsha Mason, Quinn Cummings, Paul Benedict",Won 1 Oscar. Another 9 wins & 9 nominations.,N/A,USA,Herbert Ross,"Comedy, Drama, Romance",PG,The Goodbye Girl,Neil Simon,1977,7.4
"Jane Fonda, Vanessa Redgrave, Jason Robards, Maximilian Schell",Won 3 Oscars. Another 18 wins & 24 nominations.,N/A,USA,Fred Zinnemann,Drama,PG,Julia,"Lillian Hellman (based upon the story by), Alvin Sargent (screenplay)",1977,7.3
"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing",Won 6 Oscars. Another 50 wins & 28 nominations.,N/A,USA,George Lucas,"Action, Adventure, Fantasy, Sci-Fi",PG,Star Wars: Episode IV - A New Hope,George Lucas,1977,8.6
"Anne Bancroft, Shirley MacLaine, Tom Skerritt, Mikhail Baryshnikov",Nominated for 11 Oscars. Another 11 wins & 7 nominations.,N/A,USA,Herbert Ross,"Drama, Romance",PG,The Turning Point,Arthur Laurents,1977,6.9
"Jane Fonda, Jon Voight, Bruce Dern, Penelope Milford",Won 3 Oscars. Another 11 wins & 14 nominations.,N/A,USA,Hal Ashby,"Drama, Romance, War",R,Coming Home,"Waldo Salt (screenplay), Robert C. Jones (screenplay), Nancy Dowd (story)",1978,7.3
"Warren Beatty, Julie Christie, James Mason, Jack Warden",Won 1 Oscar. Another 8 wins & 13 nominations.,N/A,USA,"Warren Beatty, Buck Henry","Comedy, Fantasy, Romance, Sport",PG,Heaven Can Wait,"Elaine May (screenplay), Warren Beatty (screenplay), Harry Segall (based upon a play by)",1978,6.9
"Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli",Won 2 Oscars. Another 14 wins & 14 nominations.,N/A,"UK, USA",Alan Parker,"Biography, Crime, Drama, Thriller",R,Midnight Express,"Oliver Stone (screenplay), Billy Hayes (book), William Hoffer (book)",1978,7.6
"Jill Clayburgh, Alan Bates, Michael Murphy, Cliff Gorman",Nominated for 3 Oscars. Another 6 wins & 14 nominations.,N/A,USA,Paul Mazursky,"Comedy, Drama, Romance",R,An Unmarried Woman,Paul Mazursky,1978,7.2
"Roy Scheider, Jessica Lange, Leland Palmer, Ann Reinking",Won 4 Oscars. Another 6 wins & 14 nominations.,N/A,USA,Bob Fosse,"Comedy, Drama, Music",R,All That Jazz,"Robert Alan Aurthur, Bob Fosse",1979,7.8
"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest",Won 2 Oscars. Another 18 wins & 31 nominations.,N/A,USA,Francis Ford Coppola,"Drama, War",R,Apocalypse Now,"John Milius, Francis Ford Coppola, Michael Herr (narration)",1979,8.5
"Dennis Christopher, Dennis Quaid, Daniel Stern, Jackie Earle Haley",Won 1 Oscar. Another 10 wins & 14 nominations.,N/A,USA,Peter Yates,"Comedy, Drama, Romance, Sport",PG,Breaking Away,Steve Tesich,1979,7.7
"Sally Field, Beau Bridges, Ron Leibman, Pat Hingle",Won 2 Oscars. Another 10 wins & 6 nominations.,N/A,USA,Martin Ritt,Drama,PG,Norma Rae,"Irving Ravetch (screenplay), Harriet Frank Jr. (screenplay)",1979,7.4
"Sissy Spacek, Tommy Lee Jones, Levon Helm, Phyllis Boyens-Liptak",Won 1 Oscar. Another 8 wins & 13 nominations.,N/A,USA,Michael Apted,"Biography, Drama, Music, Musical",PG,Coal Miner's Daughter,"Thomas Rickman (screenplay), Loretta Lynn (autobiography), George Vecsey (autobiography)",1980,7.5
"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",Nominated for 8 Oscars. Another 10 wins & 13 nominations.,N/A,"USA, UK",David Lynch,"Biography, Drama",PG,The Elephant Man,"Christopher De Vore (screenplay), Eric Bergren (screenplay), David Lynch (screenplay), Frederick Treves (book), Ashley Montagu (in part on the book ""The Elephant Man: A Study in Human Dignity"")",1980,8.2
